rank,prev_rank,name,league,off,def,spi
1,1,Manchester City,Barclays Premier League,3.34,0.24,95.24
2,2,Liverpool,Barclays Premier League,2.95,0.28,92.96
3,3,Bayern Munich,German Bundesliga,3.29,0.46,92.43
4,4,Paris Saint-Germain,French Ligue 1,2.88,0.47,89.55
5,7,Real Madrid,Spanish Primera Division,2.79,0.46,88.98
6,5,Barcelona,Spanish Primera Division,2.82,0.49,88.85
7,9,Chelsea,Barclays Premier League,2.62,0.48,87.16
8,6,Juventus,Italy Serie A,2.56,0.48,86.67
9,8,Atletico Madrid,Spanish Primera Division,2.24,0.34,86.18
10,13,RB Leipzig,German Bundesliga,2.48,0.57,84.07
11,11,FC Salzburg,Austrian T-Mobile Bundesliga,3.06,0.93,83.82
12,10,Ajax,Dutch Eredivisie,3.0,0.91,83.52
13,14,Leicester City,Barclays Premier League,2.19,0.47,82.68
14,15,Tottenham Hotspur,Barclays Premier League,2.43,0.62,82.39
15,12,Borussia Dortmund,German Bundesliga,2.43,0.63,82.21
16,16,Manchester United,Barclays Premier League,2.13,0.48,81.68
17,19,Bayer Leverkusen,German Bundesliga,2.29,0.65,80.01
18,20,Sevilla FC,Spanish Primera Division,2.18,0.59,79.82
19,17,Napoli,Italy Serie A,2.27,0.65,79.8
20,18,Internazionale,Italy Serie A,2.35,0.73,79.27
21,23,Everton,Barclays Premier League,2.01,0.53,78.91
22,21,Zenit St Petersburg,Russian Premier Liga,2.08,0.64,77.37
23,22,Arsenal,Barclays Premier League,2.3,0.79,77.16
24,24,FC Porto,Portuguese Liga,1.98,0.59,76.98
25,26,Real Sociedad,Spanish Primera Division,2.01,0.65,76.14
26,25,Benfica,Portuguese Liga,2.17,0.77,75.87
27,28,Getafe,Spanish Primera Division,1.76,0.5,75.59
28,27,Eintracht Frankfurt,German Bundesliga,2.14,0.79,74.74
29,30,Borussia Monchengladbach,German Bundesliga,2.21,0.85,74.56
30,31,Athletic Bilbao,Spanish Primera Division,1.76,0.55,74.42
31,29,AS Roma,Italy Serie A,2.05,0.76,74.13
32,35,TSG Hoffenheim,German Bundesliga,2.24,0.91,73.76
33,36,Flamengo,Brasileiro Série A,1.97,0.72,73.7
34,33,Villarreal,Spanish Primera Division,2.15,0.85,73.68
35,32,Wolverhampton,Barclays Premier League,1.83,0.63,73.67
36,39,Atalanta,Italy Serie A,2.21,0.92,73.17
37,34,Lazio,Italy Serie A,2.12,0.87,72.69
38,43,Valencia,Spanish Primera Division,2.09,0.85,72.67
39,40,Lyon,French Ligue 1,1.95,0.76,72.4
40,37,Olympiacos,Greek Super League,2.03,0.82,72.37
41,44,Club Brugge,Belgian Jupiler League,2.06,0.87,71.73
42,38,Schalke 04,German Bundesliga,1.96,0.81,71.4
43,41,VfL Wolfsburg,German Bundesliga,1.82,0.72,71.23
44,46,AC Milan,Italy Serie A,1.86,0.75,71.1
45,62,Espanyol,Spanish Primera Division,1.87,0.76,71.04
46,47,Osasuna,Spanish Primera Division,1.81,0.72,70.88
47,42,Eibar,Spanish Primera Division,1.81,0.73,70.66
48,45,AFC Bournemouth,Barclays Premier League,1.99,0.88,70.31
49,52,Shakhtar Donetsk,UEFA Champions League,2.15,1.0,70.23
50,54,Burnley,Barclays Premier League,1.9,0.82,70.07
51,48,Crystal Palace,Barclays Premier League,1.83,0.79,69.54
52,53,Granada,Spanish Primera Division,1.71,0.71,69.37
53,72,AZ,Dutch Eredivisie,2.14,1.04,69.27
54,50,Lille,French Ligue 1,1.79,0.77,69.23
55,65,Basel,Swiss Raiffeisen Super League,2.16,1.07,68.97
56,57,Sheffield United,Barclays Premier League,1.71,0.73,68.72
57,55,Celtic,Scottish Premiership,1.93,0.91,68.45
58,56,FC Krasnodar,Russian Premier Liga,1.89,0.88,68.43
59,51,Brighton and Hove Albion,Barclays Premier League,1.85,0.85,68.39
60,61,Real Betis,Spanish Primera Division,1.86,0.89,67.86
61,49,Fiorentina,Italy Serie A,1.89,0.91,67.85
62,58,Werder Bremen,German Bundesliga,2.03,1.02,67.81
63,67,Watford,Barclays Premier League,1.85,0.88,67.8
64,59,Young Boys,Swiss Raiffeisen Super League,2.33,1.26,67.59
65,64,Celta Vigo,Spanish Primera Division,1.74,0.81,67.26
66,75,Palmeiras,Brasileiro Série A,1.67,0.76,67.2
67,73,Rangers,Scottish Premiership,2.0,1.02,67.15
68,60,Dinamo Zagreb,UEFA Champions League,2.11,1.11,67.14
69,70,PAOK Salonika,Greek Super League,1.99,1.02,67.04
70,74,LASK Linz,Austrian T-Mobile Bundesliga,1.82,0.9,66.76
71,71,Leeds United,English League Championship,1.7,0.81,66.68
72,68,Hertha Berlin,German Bundesliga,1.91,0.99,66.2
73,69,River Plate,Argentina Primera Division,1.79,0.91,65.89
74,81,Leganes,Spanish Primera Division,1.6,0.76,65.85
75,66,West Ham United,Barclays Premier League,1.92,1.03,65.69
76,90,Alavés,Spanish Primera Division,1.72,0.86,65.69
77,76,Aston Villa,Barclays Premier League,1.85,0.97,65.61
78,80,Newcastle,Barclays Premier League,1.71,0.86,65.53
79,82,Dynamo Kiev,UEFA Europa League,1.82,0.95,65.41
80,87,Montpellier,French Ligue 1,1.56,0.75,65.04
81,63,PSV,Dutch Eredivisie,2.1,1.2,64.96
82,85,Marseille,French Ligue 1,1.68,0.86,64.94
83,83,AS Monaco,French Ligue 1,1.85,1.0,64.89
84,96,Fortuna Düsseldorf,German Bundesliga,1.9,1.06,64.32
85,84,Levante,Spanish Primera Division,1.94,1.1,64.23
86,88,CSKA Moscow,Russian Premier Liga,1.7,0.91,64.06
87,78,Southampton,Barclays Premier League,1.83,1.02,64.05
88,93,Angers,French Ligue 1,1.57,0.81,63.85
89,94,SC Freiburg,German Bundesliga,1.78,0.99,63.63
90,77,Real Valladolid,Spanish Primera Division,1.66,0.89,63.58
91,86,Grêmio,Brasileiro Série A,1.65,0.89,63.55
92,91,Sporting CP,Portuguese Liga,1.68,0.92,63.47
93,97,Lokomotiv Moscow,Russian Premier Liga,1.71,0.95,63.31
94,101,Santos,Brasileiro Série A,1.52,0.79,63.23
95,92,Galatasaray,Turkish Turkcell Super Lig,1.76,1.0,63.05
